ja,ja_kana,zh,desc_ja,desc_zh,example_ja,example_zh,detail_ja,detail_zh,source,tags,type
COP21,,COP21,2015年にパリで開催された国連気候変動枠組条約の第21回締約国会議。,2015年在巴黎举行的UNFCCC第21次缔约方会议。,,,この会議で歴史的な《パリ協定》が採択された。,本次会议通过了历史性的《巴黎协定》。,UNFCCC,COP,term
COP26,,COP26,2021年にグラスゴーで開催された国連気候変動枠組条約の第26回締約国会議。,2021年在格拉斯哥举行的UNFCCC第26次缔约方会议。,,,主要な成果として《グラスゴー気候合意》が採択された。,主要成果包括通过《格拉斯哥气候协议》。,UNFCCC,COP,term
NDC,,国家自主貢献,パリ協定の下で各国が提出する気候変動対策の自主的な目標。,在《巴黎协定》下各国提交的自愿气候变化目标。,,,5年ごとに更新・提出が義務付けられている。,每五年更新提交一次。,UNFCCC,排出削減,term
IPCC,,IPCC,気候変動に関する科学的知見を評価するための国連機関。,评估气候变化科学知识的联合国机构。,,,1988年にUNEPとWMOによって設立。,1988年由UNEP和WMO设立。,IPCC,科学的評価,term
カーボンニュートラル,,碳中和,温室効果ガスの排出量と吸収量を均衡させること。,使温室气体排放量与吸收量达到平衡。,,,日本・EU・中国など120カ国以上が目標を表明。,日本、欧盟、中国等120多个国家已宣布目标。,IPCC,脱炭素,term
ネットゼロ排出,,净零排放,人為的な温室効果ガスの排出量を、吸収量で差し引きゼロにすること。,人为温室气体排放量经碳汇抵消后为零。,,,多くの国が2050年目標として掲げる。,多数国家将其作为2050年目标。,IPCC,ネットゼロ,term
脱炭素,,脱炭素,二酸化炭素の排出を削減・ゼロ化すること。,减少或消除二氧化碳排放。,,,化石燃料からの転換、再エネ導入などが手段。,具体手段包括从化石燃料转型、引入可再生能源等。,経済産業省,GX,term
カーボンプライシング,,碳定价,CO2などの温室効果ガスの排出に価格を設定する経済的手法。,对CO2等温室气体排放设定价格的经济手段。,,,炭素税と排出量取引制度が代表的。,碳税和排放交易制度为代表。,世界銀行,経済的手法,term
排出量取引,,排放交易,政府が排出枠を発行・配分し、企業間で売買できる制度。,政府发行和分配排放配额，允许企业之间买卖的制度。,,,EU ETSが代表的。2005年開始。,欧盟ETS为代表，2005年启动。,欧州委員会,炭素市場,term
共通だが差異ある責任,,共同但有区别的责任,全ての国が共通の責任を持つが、歴史的排出責任に応じて差異ある責任を負う原則。,所有国家负有共同责任，但根据历史排放责任不同而负有区别责任的原则。,,,1992年のリオ宣言で確認された国際環境法の原則。,1992年里约宣言确认的国际环境法基本原则。,国連,国際原則,term
適応,,适应,気候変動の悪影響に対して、生態系や社会システムを調整・対応させるプロセス。,针对气候变化不利影响，调整和应对生态系统及社会系统的过程。,,,緩和と並ぶ気候変動対策の二大柱。,与减缓并列为气候变化对策的两大支柱。,IPCC,適応策,term
損失と損害,,损失与损害,適応によっても回避・軽減できない残留影響によって生じる損失や損害。,由于适应也无法避免或减轻的残留影响而产生的损失和损害。,,,COP27で損失と損害基金の設立で合意。,COP27同意设立损失与损害基金。,UNFCCC,COP27,term
グローバルストックテイク,,全球盘点,パリ協定の下で、世界全体の気候変動対策の進捗を5年ごとに評価する仕組み。,在《巴黎协定》框架下，每五年对全球气候变化对策的进展进行评估的机制。,,,2023年に第1回が実施。,2023年进行了第一次盘点。,UNFCCC,評価,term
GX推進法,,GX推进法,日本の経済社会構造を脱炭素型へ移行させるための法律。,日本为将经济社会结构向脱碳型转变而制定的法律。,,,2023年5月に成立。,2023年5月成立。,経済産業省,日本法,term
国境炭素調整,,碳边境调整,自国の気候変動政策と海外の緩い規制の差に起因する炭素漏洩を防ぐための措置。,为防止因本国气候政策与海外宽松监管之间的差距而导致的碳泄漏所采取的措施。,,,具体例としてはEUのCBAMが有名。,具体案例是欧盟的CBAM。,OECD,CBAM,term
グレタ・トゥーンベリ,,格蕾塔·通贝里,スウェーデンの環境活動家。,瑞典环保活动家。,,,2018年に「学校ストライキ」を開始。,2018年开始“学校罢课”。,タイム誌,人物,term
気候変動に関する政府間パネル,,政府间气候变化专门委員会,気候変動に関する科学的知見を評価するための国連機関。,评估气候变化科学知识的联合国机构。,,,IPCCの正式名称。,IPCC的全称。,IPCC,科学的評価,term
ワルシャワ国際メカニズム,,华沙国际机制,気候変動の影響に関連する損失と損害に対処するための枠組み。,应对气候变化影响相关损失与损害的框架。,,,2013年のCOP19で設立。,2013年COP19设立。,UNFCCC,損失と損害,term
国家適応計画,,国家适应计划,気候変動への適応ニーズを特定し戦略を策定・実施するプロセス。,识别适应需求并制定实施战略的流程。,,,2010年のCOP16で設立。,2010年COP16设立。,UNFCCC,適応,term
適応委員会,,适应委员会,UNFCCCおよびパリ協定の下で適応行動に関する専門家助言を提供する機関。,在UNFCCC和《巴黎协定》下就适应行动提供专家建议的机构。,,,2010年のCOP16で設立。,2010年COP16设立。,UNFCCC,適応,term
カンクン適応枠組,,坎昆适应框架,2010年COP16で採択された適応行動強化のための枠組み。,2010年COP16通过、旨在加强适应行动的框架。,,,適応問題を緩和と同等に扱うことが確認された。,确认了适应问题应与减缓问题同等重视。,UNFCCC,適応,term
UAE気候レジリエンス・グローバル枠組,,阿联酋全球气候韧性框架,2023年COP28で採択された全球適応目標達成を導くための枠組み。,2023年COP28通过、旨在指导实现全球适应目标的框架。,,,2030年までに達成すべき11のターゲットを設定。,设定了到2030年前应实现的11项目标。,UNFCCC,適応,term
適応情報通報,,适应信息通报,パリ協定第7条に基づき適応に関する優先事項などを自発的に通報する仕組み。,根据《巴黎协定》第7条自愿通报适应相关优先事项等的机制。,,,2022年に適応委員会がガイドラインを発表。,2022年适应委员会发布指南。,UNFCCC,適応,term
早期警報システム,,早期预警系统,気候変動による嵐・洪水・干ばつなどの影響を事前に警告するシステム。,对风暴、洪水、干旱等气候变化影响事先发出警报的系统。,,,2022年に「万人のための早期警報」イニシアチブが発表。,2022年发布“全民预警”倡议。,WMO,防災,term
ナイロビ工作方案,,内罗毕工作方案,UNFCCC下で適応に関する知識共有とパートナーシップ構築を促進するメカニズム。,UNFCCC框架下促进适应知识共享和伙伴关系建设的机制。,,,2005年のCOP11で設立。,2005年COP11设立。,UNFCCC,知識共有,term
カーボンピーク,,碳达峰,二酸化炭素の排出量が成長から減少に転じる歴史的な転換点。,二氧化碳排放量由增转降的历史拐点。,,,中国は2030年までの達成を公約している。,中国承诺2030年前实现。,中国政府,中国,term
30・60目標,,3060目标,中国の気候行動目標。2030年までのカーボンピークと2060年までのカーボンニュートラル。,中国气候行动目标。2030年前碳达峰、2060年前碳中和。,,,2020年9月に習近平国家主席が発表。,2020年9月习近平主席宣布。,中国政府,中国,term
1＋N政策体系,,1+N政策体系,中国のカーボンピーク・カーボンニュートラル実施のための政策フレームワーク。,中国实施碳达峰碳中和的政策框架。,,,2021年10月に発表された。,2021年10月发布。,中国政府,中国,term
非化石エネルギー割合,,非化石能源占比,一次エネルギー消費に占める非化石エネルギーの割合。,一次能源消费中非化石能源所占比例。,,,2030年目標は25%程度。,2030年目标为25%左右。,国家能源局,エネルギー,term
森林蓄積量,,森林蓄積量,立木の幹材積の総量。森林の炭素吸収能力を示す指標。,活立木树干材积的总量。衡量森林碳汇能力的指标。,,,2030年目標は2005年比で60億m³増加。,2030年目标比2005年增加60亿立方米。,国家林業草原局,森林,term
重点排出企業,,重点排放企业,排出権取引制度の対象となる温室効果ガス多量排出企業。,碳排放权交易制度覆盖的温室气体重点排放企业。,,,2024年時点で約3700社が対象。,截至2024年约3700家企业覆盖。,生态环境部,排出量取引,term
排出権,,碳排放权,大気環境容量の範囲内で温室効果ガスを排出する権利。,在大气环境容量范围内排放温室气体的权利。,,,1単位＝1トンのCO2当量。,1单位相当于1吨二氧化碳当量。,生态环境部,排出量取引,term
排出枠,,排放配额,政府が重点排出企業に割り当てる特定期間の排出許容量。,政府分配给重点排放单位指定时期内的碳排放额度。,,,無償割当が基本。,以免费分配为主。,生态环境部,排出量取引,term
国家認証自主減排量,,国家核证自愿减排量,中国国内の温室効果ガス自主減排プロジェクトで認証された減排量。,中国境内温室气体自愿减排项目经认证的减排量。,,,2023年10月に再開が発表された。,2023年10月宣布重启。,生态环境部,オフセット,term
全国排出権取引市場,,全国碳排放权交易市场,中国の統一的な排出権取引の場。2021年7月に正式稼働。,中国统一的碳排放权交易平台。2021年7月正式上线运行。,,,世界最大の排出量取引市場。,是全球覆盖排放量最大的碳市场。,上海環境エネルギー取引所,市場,term
グリーンファイナンス,,绿色金融,環境改善・気候変動対応・グリーン発展を支援する金融サービス。,支持环境改善、应对气候变化和绿色发展的金融服务。,,,2016年に指導意見が発表。,2016年发布指导意见。,中国人民银行,金融,term
気候変動適応,,气候变化适应,気候変動の影響に対して自然・人間システムを調整するプロセス。,调整自然和人类系统以应对气候变化影响的过程。,,,2022年に「国家適応戦略2035」を公表。,2022年发布《国家适应气候变化战略2035》。,生态环境省,適応,term
エネルギー法,,能源法,中国のエネルギー分野における基礎的法律。エネルギー緑色低炭素転換を法定目標として確立。,中国能源领域的基础性法律。将能源绿色低碳转型确立为法定目标。,,,2025年1月1日施行。,2025年1月1日起施行。,中国政府,エネルギー,term
カーボンフットプリント,,碳足迹,製品やサービスのライフサイクル全体で排出される温室効果ガスの総量。,产品或服务整个生命周期中排放的温室气体总量。,,,企業の脱炭素戦略の重要な指標の一つ。,企业脱碳战略的重要指标之一。,環境省,指標,term
サーキュラーエコノミー,,循环经济,資源を循環させ廃棄物を出さない経済システム。製品の再利用・リサイクルを促進する。,使资源循环、不产生废弃物的经济系统。促进产品的再利用和回收。,,,気候変動対策と資源問題を同時に解決するアプローチ。,同时解决气候变化和资源问题的途径。,環境省,資源循環,term
朝虹は雨、夕虹は晴れ,あさにじはあめ、ゆうにじははれ,朝虹有雨，夕虹天晴,朝に虹が出ると雨が近づき、夕方に虹が出ると天気が回復する。,清晨出现彩虹说明雨将至，傍晚出现彩虹则天气转晴。,朝、西の空に虹が出ていたので、傘を持って出かけたら、本当に雨が降り出した。,清晨西边出现了彩虹，我带伞出门，果然下起了雨。,,,,,proverb
月に暈がかかれば雨,つきにぐもりがかかればあめ,月亮生晕，雨水来临,月の周りに暈が出るのは降雨の前兆。,月亮周围出现光晕预示即将下雨。,昨夜は月に暈があったので、今日は雨に備えて窓を閉めて出勤した。,昨晚月亮有晕，我关好窗户去上班，为降雨做准备。,,,,,proverb
燕が低く飛べば雨,つばめがひくくとべばあめ,燕子低飞，雨水紧随,気圧が下がるとツバメが低く飛ぶ。降雨の前兆。,气压下降时燕子低飞，是下雨的前兆。,燕が低く飛んでいたので、洗濯物を取り込んだところ、間もなく雨が降り出した。,燕子低飞，我赶紧收进晾晒的衣物，不久就下起了雨。,,,,,proverb
蛙が鳴けば雨が降る,かえるがなけばあめがふる,青蛙鸣叫，雨要来到,雨が近づき湿度が上がるとカエルが鳴く。,下雨前湿度升高，青蛙会鸣叫。,昨夜は庭の蛙がやけに鳴いていた。案の定、今朝から大雨だ。,昨晚院子里的青蛙叫得很欢。果然，从今天早上开始下大雨。,,,,,proverb
山に雲がかかれば雨,やまにきもがかかればあめ,云遮山顶，雨水降临,山頂に雲がかかるのは湿った空気が上昇している証拠。,云层笼罩山顶表示湿润空气正在上升。,富士山の山頂に雲がかかっていたので、登山を中止した。午後から雨が降り出した。,富士山顶被云笼罩，我们取消了登山计划。午后开始下雨。,,,,,proverb
夕焼けは晴れの印,ゆうやけははれのしるし,晚霞满天，明日晴天,西の空が赤く焼けるのは西側に高気圧がある証拠。,西方晚霞通红，表示西侧有高压系统。,昨日の夕焼けがきれいだったので、今日のピクニックを安心して楽しめた。,昨天晚霞很漂亮，今天可以放心享受野餐。,,,,,proverb
暑さ寒さも彼岸まで,あつささむさもひがんまで,暑寒至彼岸，此后皆安然,厳しい暑さや寒さは春分・秋分の彼岸の頃までで、それを過ぎると和らぐ。,严寒酷暑到春分秋分前后就会缓和。,もう彼岸も過ぎたし、そろそろ暑さも和らぐだろう。エアコンの準備をしよう。,彼岸已经过了，酷暑该缓解了吧。准备关空调换季吧。,,,,,proverb
夏の夕立は近くの雨,なつのゆうだちはちかくのあめ,夏季雷雨，只降近处,夏の夕立は積乱雲による局地的な現象。,夏季傍晚雷雨是对流云导致的局部现象。,夕立が降ったが、一駅先は全く雨が降っていなかった。まさに夏の夕立は近くの雨だ。,刚才下了雷阵雨，可一站地之外完全没下雨。真是“夏雨隔马背”。,,,,,proverb
雷の回数で雨の量を知る,かみなりのかいすうであめのりょうをしる,听雷声次数，知雨量大小,雷の発生回数が多いほど積乱雲が発達し、降る雨の量も多くなる。,打雷次数越多表示积雨云越强，降雨量通常也会更大。,さっきから雷が鳴りっぱなしだ。今夜はかなりの雨量になりそうだ。,刚才一直雷声不断。今晚雨量恐怕会很大。,,,,,proverb
雨の前は髪がうねる,あめのまえはかみがうねる,雨前发丝卷，湿气已不远,湿度が高くなるとくせ毛の人は髪がうねりやすくなる。,湿度升高时，卷发容易变得毛躁。,朝から髪の毛がうねって落ち着かない。やはり午後から雨が降り出した。,从早上开始头发就毛躁得不行。果然下午开始下雨了。,,,,,proverb
南風は雨、北風は晴れ,みなみかぜはあめ、きたかぜははれ,南风送雨，北风迎晴,南風は湿った空気を運び雨を降らせ、北風は乾いた空気を運び晴れる。,南风带来湿润空气容易下雨，北风带来干燥空气容易放晴。,南風が強く吹き始めた。天気予報通り、今夜は雨になりそうだ。,南风强劲刮起。正如天气预报所说，今晚看来要下雨。,,,,,proverb
鬼の居ぬ間に洗濯,おにのいぬまにせんたく,趁鬼不在，赶紧洗衣,雨の合間のわずかな晴れ間を利用して洗濯をする様子をユーモラスに表現。,幽默地形容利用雨停的短暂晴天赶紧洗衣服。,貴重な晴れ間を見て、「鬼の居ぬ間に洗濯」とばかりに急いで洗濯物を干した。,看到宝贵的晴天间隙，赶紧趁雨停洗衣服。,,,,,proverb
山笑う,やまわらう,山笑春色，草木萌发,春になり山全体が生き生きと輝く様子を表現した季語。,形容春天到来，整座山生机勃勃的样子。,春の山はまさに「山笑う」という表現がぴったりで、心が洗われる思いがした。,春天的山正适合“山笑”这个词，感到心灵被洗涤。,,,,,proverb
卯月,うづき,卯月,陰暦4月の異称。卯の花が咲く季節。,农历四月的别称。卯月花盛开。,卯月の爽やかな風が、新緑の香りを運んでくる。,卯月的清爽微风，带来了新绿的香气。,,,,,proverb
水無月,みなづき,水無月,陰暦6月の異称。田んぼに水を張る「水の月」が転じたと言われる。,农历六月的别称。据说是由农田灌水的「水の月」演变而来。,水無月の蒸し暑さに耐えかねて、久しぶりにビールを飲んだ。,忍受不了水无月的闷热，久违地喝了啤酒。,,,,,proverb
葉月,はづき,葉月,陰暦8月の異称。木の葉が落ちる月、あるいは稲の穂が張る「穂張り月」が由来。,农历八月的别称。源于树叶飘落的月份或稻穗饱满的月份。,葉月の終わりになると、朝夕に秋の気配を感じるようになる。,到了叶月底，早晚开始能感受到秋天的气息。,,,,,proverb
神無月,かんなづき,神無月,陰暦10月の異称。全国の神々が出雲大社に集まるため神様がいなくなる月とされる。,农历十月的别称。传说全国众神齐聚出云大社，因此神明不在。,神無月の夜は静かで、少し寂しい気持ちになる。,神无月的夜晚很安静，让人感到些许寂寞。,,,,,proverb
師走,しわす,師走,陰暦12月の異称。僧侶が忙しく走り回る「師馳す」から。年末の繁忙期を表す。,农历十二月的别称。源于僧侣忙碌奔走，代表年末繁忙。,師走に入り、街は慌ただしく年の瀬の色を帯びてきた。,进入师走，街上开始带着年末的匆忙气氛。,,,,,proverb
木枯らし,こがらし,木枯らし，晚秋寒风,秋の終わりから冬の初めに吹く強い北風。木の葉を吹き散らす様子から。,秋末冬初的强北风。源于吹散树叶的景象。,木枯らしが吹き荒れる夕方、思わずコートの襟を立てた。,在木枯らし劲吹的傍晚，不由得竖起了大衣领子。,,,,,proverb
春霖,しゅんりん,春霖,春の長雨。作物の成長には重要だが、日照不足をもたらすこともある。,春季的长时间降雨。对作物生长重要，但也可能导致日照不足。,春霖で外に出られず、家で読書に没頭する休日も悪くない。,因春霖无法外出，在家专心读书的假日也不错。,,,,,proverb
梅雨寒,つゆざむ,梅雨寒,梅雨時期に気温が低く、肌寒く感じる現象。,梅雨季节气温偏低，体感寒冷的现象。,六月に入っても梅雨寒で、ストーブを出してしまった。,进入六月仍有梅雨寒，我甚至又拿出了暖炉。,,,,,proverb
走り梅雨,はしりづゆ,梅雨前驱，雨脚初驻,本格的な梅雨入りの前に数日間雨が降り続く現象。,正式入梅前，持续数日降雨的现象。,走り梅雨で連日雨が続き、洗濯物が乾かなくて困った。,梅雨前驱连日下雨，衣服干不了，很头疼。,,,,,proverb
空梅雨,からつゆ,空梅少雨，旱魃堪忧,梅雨期にほとんど雨が降らず夏の水不足が心配される現象。,梅雨季节几乎无雨，可能导致夏季缺水的现象。,今年は空梅雨で、ダムの貯水率が例年の半分以下だ。節水に協力しよう。,今年梅雨空少，水库蓄水量不到往年一半。一起节水吧。,,,,,proverb
小春日和,こはるびより,小春日和，冬日暖阳,冬の穏やかな晴れで暖かく過ごしやすい日。春とは関係がない。,冬季天气稳定、温暖舒适的日子。与春天无关。,小春日和の暖かい日差しの中、猫が気持ちよさそうに昼寝をしていた。,在小阳春温暖的阳光下，猫咪舒服地午睡着。,,,,,proverb
時雨,しぐれ,秋末冬初，时雨潇潇,秋の終わりから冬の初めにかけて降ったり止んだりする雨。日本の情緒を表す季語。,秋末冬初，忽降忽停的雨。代表日本情绪的季语。,時雨るるや、熊野の山も見え隠れ。芭蕉の句を思い出させる秋の夕暮れだった。,时雨纷纷，熊野的群山若隐若现。让人想起芭蕉俳句的秋日黄昏。,,,,,proverb
二百十日,にひゃくとおか,二百十日，台风气势,立春から数えて210日目。台風が多い時期とされ農家が警戒する日。,立春后第210天。台风多发时期，是农户警戒的重要节点。,二百十日を過ぎたら、ようやく台風の心配が少なくなる。,过了二百十日，总算不用担心台风了。,,,,,proverb
花冷え,はなびえ,樱花季寒，春寒料峭,桜の開花時期に一時的に気温が下がる現象。春の季語。,樱花盛开期间气温短暂下降的现象。春季季语。,折角の花見なのに、花冷えで震え上がった。でも桜は格別に美しかった。,难得的赏花日，却因倒春寒冻得发抖。但樱花格外美丽。,,,,,proverb
春一番,はるいちばん,春日初南风，万物始萌动,立春から春分の間に初めて吹く強い南風。春の訪れを知らせる気象現象。,立春到春分之间首次刮起的强南风。是宣告春天来临的气象现象。,春一番が吹いた翌日、庭の梅の花が一気に開き始めた。,春一番刮过的第二天，院子里的梅花一齐绽放。,,,,,proverb
菜種梅雨,なたねづゆ,菜花梅雨，油菜花季雨如丝,菜の花が咲く時期のぐずついた曇りや雨の天気。春の季語。,油菜花盛开期间持续的阴雨天气。春季季语。,菜種梅雨の時期は鬱陶しいが、ぼんやりとした風景が風情があって好きだ。,菜花梅雨时节虽然令人烦闷，但朦胧的风景别有一番风情。,,,,,proverb
五月雨,さみだれ,五月霖雨，梅雨连绵,旧暦5月ごろの長雨。梅雨のことで日本文学では情感を込めて使われる。,农历五月左右的长雨。指梅雨季节，在日本文学中常用于抒情。,五月雨に濡れた紫陽花の花が、しっとりと美しい。,被梅雨淋湿的绣球花，湿润而美丽。,,,,,proverb
入道雲多き夏は台風少なし,にゅうどうぐもおおきなつはたいふうすくなし,积雨云多，台风少过,入道雲が多い年は高気圧が強く台風が日本へ接近しにくくなる。,积雨云多的年份高压较强，台风不易接近日本。,今年は入道雲が多いので、台風の上陸が少ないと良いなあ。,今年积雨云很多，希望登陆的台风少一些。,,,,,proverb
朝露多き日は昼晴れ,あさつゆおおきひはひるばれ,晨露湿衣，午后天晴,朝露が多い夜は晴天で放射冷却が起きた証拠。昼間は晴れる。,朝露多的夜晚晴天且辐射冷却明显。白天将会放晴。,朝露がたっぷりついていたので、洗濯物を外に干したら、午後までよく晴れた。,清晨露水很重，我把衣服晒到外面，一直到下午都放晴了。,,,,,proverb
猫が顔洗えば夕雨,ねこがかおあらえばゆうう,猫儿洗脸，暮雨不远,気圧低下で猫が体調不良となり顔を洗う仕草をすることが雨の兆しとされる。,气压下降猫咪不适，出现洗脸动作被视为下雨前兆。,飼い猫がやけに顔を洗っている。今夜は雨が降るかもしれない。,家猫不停地洗脸。今晚可能要下雨了。,,,,,proverb
夕焼け濃き夏は翌日晴れ,ゆうやけこきなつはよくじはれ,夏日晚霞浓，翌日天晴空,夏の鮮やかな夕焼けは西の高気圧の証拠。翌日は晴天で安定する。,夏日鲜艳晚霞代表西侧有高压。次日天气稳定晴朗。,昨日の夕焼けが真っ赤だったので、今日の海はきっと穏やかだろう。,昨天晚霞通红，今天的大海一定很平静。,,,,,proverb
朝焼け赤ければ昼雨,あさやけあかければひるあめ,朝霞如火，午时雨落,朝焼けは東の低気圧接近を示し昼前後から雨になることが多い。,朝霞表示东方低压靠近，中午前后经常下雨。,朝焼けが赤いので、今日の遠足はやめておこう。,朝霞通红，今天的远足还是取消吧。,,,,,proverb
土用の雨は金に換わる,どようのあめはきんにかわる,土用の雨，价抵万金,土用の酷暑期の降雨は農作物を救う貴重な雨であり金にも例えられる。,三伏天的降雨能拯救干旱作物，价值堪比黄金。,長い日照りの後、待ちに待った土用の雨が降った。農家は大喜びだ。,久旱之后，期待已久的三伏雨终于降临。农户们欣喜若狂。,,,,,proverb
稲妻多き夕は夜半雨,いなずまおおきゆうはよわあめ,闪电频频，夜半雨声,夕方の落雷が多いと積乱雲が発達し夜半にまとまった雨となる。,傍晚雷电多发表示积雨云旺盛，夜半将有明显降雨。,夕方から稲妻が光っている。今夜は夜中まで雨が降りそうだ。,傍晚开始闪电。今夜恐怕要下雨到深夜了。,,,,,proverb
南風三日吹けば夕立来る,みなみかぜみっかふけばゆうだちくる,南风三日，阵雨将至,夏に同じ風が三日続くと湿った空気がたまり午後に雷雨となる。,夏季同风向持续三日，湿气堆积，午后形成雷阵雨。,三日も南風が続いた。そろそろ夕立が来るだろう。,南风连续刮了三天。差不多该有雷阵雨了。,,,,,proverb
梅雨に北風吹けば冷えて長雨,つゆにきたかぜふけばひえてながあめ,梅雨北风吹，阴冷延绵雨,梅雨前線に北風が吹き込むと寒気が流入し前線停滞で長雨低温となる。,北风吹入梅雨锋面，冷空气流入，锋面停滞导致阴雨低温。,梅雨なのに北風が吹き始めた。このまま長雨になりそうだ。,梅雨季却刮起了北风。看来要变成漫长的阴雨天了。,,,,,proverb
蝉が早く鳴けば猛暑来る,せみがはやくなけばもうしょくる,蝉声早噪，酷暑必到,セミが平年より早く鳴き出す年は春から気温が高く猛暑が長引く。,蝉比往年更早鸣叫的年份，春季气温偏高，酷暑持续更久。,今年は蝉の声を例年より早く聞いた。猛暑に備えよう。,今年听到蝉鸣比往年更早。准备好迎接酷暑吧。,,,,,proverb
海鳴りすれば夏台風来る,うみなりすればなつたいふうくる,海空轰鸣，台风逼近,沿岸の海が遠くから唸るような音は沖合の台風低気圧の接近を示す。,沿海听到远方海面轰鸣，表示近海有台风低压靠近。,漁師が「海が鳴っている」と言っていた。台風が近づいているのかもしれない。,渔民说“海在轰鸣”。可能台风正在靠近。,,,,,proverb
蜂が低く巣を作れば台風来る,はちがひくくすをつくればたいふうくる,蜂巢筑低，台风急,気圧低下を察知した蜂が水没を避け低い場所に巣を作る。台風接近の兆し。,感知气压变化的蜜蜂为避免淹水，在低处筑巢。台风接近的征兆。,蜂が地面近くに巣を作っている。台風が来る前触れかもしれない。,蜜蜂在靠近地面的地方筑巢。可能是台风来临的前兆。,,,,,proverb
露が立たぬ朝は昼降雨,つゆがたたぬあさはひるこうう,朝晨无露，午间雨顾,朝露がない夜は曇っていた証拠。昼には雲が発達し雨が降る。,没有朝露表示夜间云层厚。白天云层发展形成降雨。,朝露が全くなかった。午後から雨になるらしい。,清晨完全没有露水。看来午后要下雨了。,,,,,proverb
夕立後に虹が出れば翌日晴,ゆうだちあとににじがでればよくじはれ,阵雨之后虹桥现，翌日必是天晴,雨上がりの虹は低気圧通過の証拠。高気圧が来て翌日は晴れる。,雨后彩虹代表低压已过。高压到来次日放晴。,さっきの夕立の後、きれいな虹が出た。明日は晴れるだろう。,刚才的雷阵雨过后，出现了美丽的彩虹。明天会放晴吧。,,,,,proverb
黒雲山にかかれば夕に雨,くろくもやまにかかればゆうにあめ,黑云笼山，夕雨来攀,黒雲が山頂を覆うのは上昇気流の発達を示し夕方には雨になる。,黑云笼罩山头表示上升气流旺盛，傍晚将下雨。,山のてっぺんが黒い雲に覆われている。夕方には雨が降り出すだろう。,山顶被黑云笼罩。傍晚会下起雨来吧。,,,,,proverb
